pt	en	es	ar	ko	ja	zh	hi	id	ru
Editar forma	Edit shape	Editar forma	تعديل الشكل	도형 편집	シェイプを編集	编辑形状	आकार संपादित करें	Edit bentuk	Редактировать фигуру
Editar legendas	Edit captions	Editar subtítulos	تعديل الترجمة	자막 편집	字幕を編集	编辑字幕	कैप्शन संपादित करें	Edit subtitel	Редактировать субтитры
Editar nos	Edit nodes	Editar nodos	تعديل العقد	노드 편집	ノードを編集	编辑节点	नोड संपादित करें	Edit simpul	Редактировать узлы
Editar nos do caminho	Edit path nodes	Editar nodos del trazado	تعديل عقد المسار	경로 노드 편집	パスのノードを編集	编辑路径节点	पाथ के नोड संपादित करें	Edit simpul jalur	Редактировать узлы пути
Editar pivô	Edit pivot	Editar pivote	تعديل نقطة الارتكاز	피벗 편집	ピボットを編集	编辑轴心	धुरी संपादित करें	Edit pivot	Редактировать опорную точку
Editar texto	Edit text	Editar texto	تعديل النص	텍스트 편집	テキストを編集	编辑文本	टेक्स्ट संपादित करें	Edit teks	Редактировать текст
Editor de video e composicao	Video and compositing editor	Editor de vídeo y composición	محرر الفيديو والتركيب	동영상 및 합성 편집기	動画・コンポジションエディター	视频与合成编辑器	वीडियो और कंपोज़िशन एडिटर	Editor video dan komposisi	Редактор видео и композитинга
Efeito da transicao	Transition effect	Efecto de la transición	تأثير الانتقال	전환 효과	トランジションのエフェクト	转场效果	ट्रांज़िशन इफ़ेक्ट	Efek transisi	Эффект перехода
Efeitos de audio	Audio effects	Efectos de audio	تأثيرات الصوت	오디오 효과	音声エフェクト	音频效果	ऑडियो इफ़ेक्ट	Efek audio	Аудиоэффекты
Eixo	Axis	Eje	المحور	축	軸	轴	अक्ष	Sumbu	Ось
Ela entra no ar a partir do instante atual.	It goes live from the current moment.	Entra en escena a partir del instante actual.	تدخل الخدمة بدءًا من اللحظة الحالية.	현재 시점부터 활성화됩니다.	現在の時点から有効になります。	从当前时刻起生效。	यह वर्तमान क्षण से सक्रिय हो जाती है।	Ia aktif mulai dari saat ini.	Она вступает в действие с текущего момента.
Elemento / Projeto	Element / Project	Elemento / Proyecto	العنصر / المشروع	요소 / 프로젝트	要素 / プロジェクト	元素 / 项目	एलिमेंट / प्रोजेक्ट	Elemen / Proyek	Элемент / Проект
Elemento 3D	3D element	Elemento 3D	عنصر ثلاثي الأبعاد	3D 요소	3D要素	3D元素	3D एलिमेंट	Elemen 3D	3D-элемент
Elástico	Elastic	Elástico	مرن	탄성	エラスティック	弹性	इलास्टिक	Elastis	Эластичный
Em compasso 4/4: 1/4 poe uma marca em cada tempo, 1/8 duas, 1/1 uma por compasso.	In 4/4 time: 1/4 puts a marker on every beat, 1/8 two, 1/1 one per bar.	En compás de 4/4: 1/4 pone una marca en cada tiempo, 1/8 dos, 1/1 una por compás.	في ميزان 4/4: يضع 1/4 علامة عند كل نبضة، و1/8 علامتين، و1/1 علامة واحدة في كل مازورة.	4/4 박자에서 1/4은 박마다 표시 하나, 1/8은 두 개, 1/1은 마디마다 하나를 넣습니다.	4/4拍子の場合: 1/4は各拍に1つ、1/8は2つ、1/1は1小節に1つマークを置きます。	在4/4拍中：1/4每拍放一个标记，1/8放两个，1/1每小节放一个。	4/4 ताल में: 1/4 हर बीट पर एक निशान लगाता है, 1/8 दो, 1/1 हर बार पर एक।	Dalam birama 4/4: 1/4 memberi satu tanda di setiap ketukan, 1/8 dua, 1/1 satu per birama.	В размере 4/4: 1/4 ставит метку на каждую долю, 1/8 — две, 1/1 — одну на такт.
Em relacao a	Relative to	Con respecto a	بالنسبة إلى	기준	基準	相对于	के सापेक्ष	Relatif terhadap	Относительно
Embaralhar	Shuffle	Mezclar	خلط	섞기	シャッフル	随机排列	शफ़ल करें	Acak	Перемешать
Emissivo	Emissive	Emisivo	انبعاثي	발광	エミッシブ	自发光	एमिसिव	Emisif	Свечение
Encaixar na grade	Snap to grid	Ajustar a la cuadrícula	محاذاة إلى الشبكة	격자에 맞추기	グリッドにスナップ	吸附到网格	ग्रिड पर स्नैप करें	Jepret ke kisi	Привязка к сетке
Encurtar	Shorten	Acortar	تقصير	줄이기	短くする	缩短	छोटा करें	Perpendek	Укоротить
Enquadrar	Frame	Encuadrar	تأطير	화면에 맞추기	画面に収める	框显	फ़्रेम करें	Pas ke layar	Вписать
Enquadrar a cena	Frame the scene	Encuadrar la escena	تأطير المشهد	장면을 화면에 맞추기	シーンを画面に収める	框显场景	दृश्य को फ़्रेम करें	Pas adegan ke layar	Вписать сцену
Enquadrar a cena inteira	Frame the whole scene	Encuadrar toda la escena	تأطير المشهد بأكمله	전체 장면을 화면에 맞추기	シーン全体を画面に収める	框显整个场景	पूरे दृश्य को फ़्रेम करें	Pas seluruh adegan ke layar	Вписать всю сцену
Enquadrar o objeto selecionado	Frame the selected object	Encuadrar el objeto seleccionado	تأطير الكائن المحدد	선택한 오브젝트를 화면에 맞추기	選択したオブジェクトを画面に収める	框显所选对象	चयनित ऑब्जेक्ट को फ़्रेम करें	Pas objek terpilih ke layar	Вписать выбранный объект
Enquadrar selecionado	Frame selected	Encuadrar seleccionado	تأطير المحدد	선택 항목 화면에 맞추기	選択物を画面に収める	框显所选	चयनित को फ़्रेम करें	Pas yang terpilih ke layar	Вписать выбранное
Enquadrar seleção	Frame selection	Encuadrar selección	تأطير التحديد	선택 영역 화면에 맞추기	選択範囲を画面に収める	框显选区	चयन को फ़्रेम करें	Pas seleksi ke layar	Вписать выделение
Enquadrar tudo	Frame all	Encuadrar todo	تأطير الكل	모두 화면에 맞추기	全体を画面に収める	框显全部	सब कुछ फ़्रेम करें	Pas semua ke layar	Вписать всё
Entendi	Got it	Entendido	فهمت	알겠어요	わかりました	知道了	समझ गया	Mengerti	Понятно
Entrar com Código	Sign in with Code	Iniciar sesión con código	تسجيل الدخول بالرمز	코드로 로그인	コードでログイン	使用代码登录	कोड से साइन इन करें	Masuk dengan Kode	Войти по коду
Enviar	Send	Enviar	إرسال	보내기	送信	发送	भेजें	Kirim	Отправить
Erro, sugestao de ferramenta ou de efeito — vai direto para o criador do app.	Bug, tool or effect suggestion — goes straight to the app's creator.	Error, sugerencia de herramienta o de efecto — va directo al creador de la app.	خطأ أو اقتراح أداة أو تأثير — يصل مباشرة إلى مطوّر التطبيق.	오류, 도구나 효과 제안 — 앱 제작자에게 바로 전달됩니다.	バグ、ツールやエフェクトの提案 — アプリの作者に直接届きます。	错误、工具或效果建议 — 直接发送给应用的开发者。	बग, टूल या इफ़ेक्ट का सुझाव — सीधे ऐप के निर्माता तक जाता है।	Bug, saran alat atau efek — langsung sampai ke pembuat aplikasi.	Ошибка, идея инструмента или эффекта — попадёт прямо к создателю приложения.
Escala do nulo -> espacamento/raio · Rotacao Z -> rotacao da grade · Rotacao Y -> twist.	Null scale -> spacing/radius · Z rotation -> grid rotation · Y rotation -> twist.	Escala del nulo -> espaciado/radio · Rotación Z -> rotación de la cuadrícula · Rotación Y -> giro.	مقياس الكائن الفارغ -> التباعد/نصف القطر · الدوران Z -> دوران الشبكة · الدوران Y -> الالتواء.	널의 배율 -> 간격/반지름 · Z 회전 -> 격자 회전 · Y 회전 -> 비틀기.	ヌルのスケール -> 間隔/半径 · Z回転 -> グリッドの回転 · Y回転 -> ツイスト。	空对象缩放 -> 间距/半径 · Z旋转 -> 网格旋转 · Y旋转 -> 扭曲。	नल का स्केल -> अंतर/त्रिज्या · Z घुमाव -> ग्रिड का घुमाव · Y घुमाव -> ट्विस्ट।	Skala null -> jarak/radius · Rotasi Z -> rotasi kisi · Rotasi Y -> puntiran.	Масштаб нулевого объекта -> шаг/радиус · Вращение Z -> вращение сетки · Вращение Y -> скручивание.
